energy;VIP_Score;Zone
2.99;5.31040186675948;Ag La
22.36;4.279605368862372;Ag ka
3.17;4.109411210707914;Ag Lb
8.75;1.7632996866320292;background3
6.35;1.7314159004023313;Fe ka
21.31;1.726518725663306;Ag compton
2.46;1.5325881318231058;background1
22.82;1.1353547510580169;background5
3.89;1.0005449869403726;Ca
4.81;0.9105341047872665;background2
