energy;Mean_Abs_SHAP
1.32;0.0
1.34;0.0
1.36;0.0
1.38;0.0
1.4;0.0
1.42;0.0
1.44;0.0
1.46;0.0
1.48;0.0
1.5;0.0
1.52;0.0
1.54;0.0
1.56;0.0
1.58;0.0
1.6;0.0
1.62;0.0
1.64;0.0
1.66;0.0
1.68;0.0
1.7;0.0002204710838178672
1.72;0.0008925905586964615
1.74;0.002199664711145868
1.76;0.0003947946914113247
1.78;0.00037480063436114586
1.8;0.0
1.82;0.00025824023029153033
1.84;0.0
1.86;0.0
1.88;0.0
1.9;0.0
1.92;0.0
1.94;0.0
1.96;0.0
1.98;0.0
2;0.0
2.02;0.0
2.04;0.0
2.06;8.759078504560566e-06
2.08;0.0
2.1;0.0
2.12;0.0
2.14;0.0
2.16;0.0
2.18;0.0
2.2;0.0
2.22;0.0
2.24;0.0
2.26;0.0
2.28;0.0
2.3;0.0
2.32;0.0
2.34;0.0
2.36;0.0
2.38;0.0
2.4;0.0
2.42;0.0
2.44;0.0
2.46;0.0
2.48;0.0
2.5;0.0
2.52;0.0
2.54;0.0
2.56;0.0
2.58;0.0
2.6;0.0
2.62;0.0
2.64;0.0
2.66;0.0
2.68;0.0
2.7;0.0
2.72;0.0
2.74;0.0
2.76;0.0
2.78;0.0
2.8;0.0
2.82;0.0
2.84;0.0
2.86;0.0
2.88;0.0
2.9;0.0
2.92;0.0
2.94;0.0
2.96;0.0
2.98;0.0
3;0.0
3.02;0.0
3.04;0.0
3.06;0.0
3.08;0.0
3.1;0.0
3.12;0.0
3.14;0.0
3.16;0.0
3.18;0.0
3.2;0.0
3.22;0.0
3.24;0.0
3.26;0.0
3.28;0.0
3.3;0.0
3.32;0.0
3.34;0.0
3.36;0.0
3.38;0.0
3.4;0.0
3.42;0.0
3.44;0.0
3.46;0.0
3.48;0.0
3.5;0.0
3.52;0.0
3.54;0.0
3.56;0.0
3.58;0.0
3.6;0.00020957218769167472
3.62;0.010973457180846627
3.64;0.02612745606541288
3.66;0.0370338933482276
3.68;0.04628763713698571
3.7;0.049862306071784025
3.72;0.045597619443512774
3.74;0.030870252417120648
3.76;0.018256784670935947
3.78;0.002865558443594196
3.8;0.00012798957179248864
3.82;0.0
3.84;0.0
3.86;0.0
3.88;0.0
3.9;0.0
3.92;0.0
3.94;0.0
3.96;0.0
3.98;0.0
4;0.00014701705769195787
4.02;0.0
4.04;0.0
4.06;0.0
4.08;0.0
4.1;0.0
4.12;0.0
4.14;0.0
4.16;0.0
4.18;0.0
4.2;0.0
4.22;0.00010990697479402442
4.24;0.0
4.26;0.0
4.28;0.0
4.3;0.0
4.32;0.0
4.34;0.0
4.36;0.0
4.38;0.0
4.4;0.0
4.42;1.1763352529683736e-05
4.44;0.0
4.46;0.0003360471913492621
4.48;0.0019048162011666785
4.5;0.002786732238663084
4.52;0.005719387337386166
4.54;0.004066406184979957
4.56;0.0030454387465328535
4.58;0.0015730712333434339
4.6;0.00015598954507795468
4.62;0.0
4.64;0.0
4.66;0.0
4.68;0.0
4.7;0.0
4.72;0.0
4.74;0.0
4.76;0.0
4.78;0.0
4.8;0.0
4.82;0.0
4.84;0.0
4.86;0.0
4.88;0.0
4.9;0.0
4.92;0.0
4.94;0.0
4.96;1.3366003489716705e-05
4.98;0.0
5;0.0
5.02;0.0
5.04;0.0
5.06;0.0
5.08;0.0
5.1;0.0
5.12;0.0
5.14;0.0
5.16;0.0
5.18;0.0
5.2;0.0
5.22;0.0
5.24;0.0
