SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Ti ka;Fe ka;Ti ka;Fe ka
Ti ka;Ca ka;Ti ka;Ca ka;Ca ka
Cu ka;Fe ka;Ca ka;Fe ka;Ti ka
Fe kb;Cu ka;Cu ka;Ag ka scattering;Fe kb
Ti kb;Ti kb;Fe kb;Cu ka;Ca kb
Ca ka;Fe kb;Ti kb;Ti kb;Ti kb
Ag ka scattering;background5;Ag ka scattering;background4;Cu ka
background6;Ca kb;Ca kb;Fe kb;Cu kb
Cu kb;background4;background6;background6;background2
Ca kb;Ag ka scattering;Cu kb;Ca kb;Zn ka
background4;background1;background4;background1;background5
background5;background2;background5;Cu kb;background4
Zn ka;background3;Zn ka;background2;Ag ka scattering
background2;background6;background2;background5;background6
background3;Cu kb;background1;Ar ka + Ag L;background1
Ar ka + Ag L;Ar ka + Ag L;Ar ka + Ag L;Zn kb;Ar ka + Ag L
background1;Zn kb;background3;background3;background3
Zn kb;Zn ka;Zn kb;Zn ka;Zn kb
;;;;
