Seed;Rank;Fitness_RBO_Score;Agregador;Metric;N_Bags;Frac_Samples_per_Bag;Frac_Min_Samples_per_Predicate;Replacement
0;1;0.9088670940566667;max;covariance;61;0.797614513974833;0.11018465387560054;True
0;2;0.9076564858466667;max;covariance;61;0.6395814816488832;0.11018465387560054;True
0;3;0.9076564858466667;max;covariance;61;0.797614513974833;0.27486338420408923;True
0;4;0.9076125635533333;max;covariance;119;0.7630758597649758;0.11018465387560054;True
0;5;0.9057348855133334;max;covariance;61;0.5832721792409249;0.11018465387560054;True
0;6;0.9057348855133334;max;covariance;61;0.797614513974833;0.05409067262301566;True
0;7;0.9057348855133334;median;covariance;119;0.7919132567052827;0.24889586082882187;False
0;8;0.9045242773033333;max;covariance;61;0.5949704649482211;0.27486338420408923;True
0;9;0.9045242773033333;max;covariance;61;0.8304611924303349;0.27486338420408923;True
0;10;0.90260267697;max;covariance;30;0.797614513974833;0.11018465387560054;True
0;11;0.90260267697;max;covariance;122;0.5741522752274297;0.15542607760376576;True
0;12;0.9017418041366666;max;covariance;61;0.6283034553618023;0.11018465387560054;True
0;13;0.90139206876;sum;covariance;61;0.797614513974833;0.11018465387560054;True
0;14;0.90139206876;sum;covariance;200;0.6989691621042706;0.09776677287559764;True
0;15;0.9006927855133334;sum;covariance;69;0.797614513974833;0.11018465387560054;True
0;16;0.8994821773033334;max;covariance;61;0.797614513974833;0.2734279322313977;True
0;17;0.8994821773033334;sum;covariance;83;0.5741522752274297;0.26994711968318263;True
0;18;0.8987711851800001;max;covariance;61;0.797614513974833;0.08536673667551593;True
0;19;0.8987711851800001;median;covariance;80;0.7067602183222603;0.1461679411207124;False
0;20;0.8976044992633334;max;covariance;47;0.797614513974833;0.11018465387560054;True
1;1;0.9408237855133335;max;covariance;52;0.8621068563853604;0.21289745824336864;True
1;2;0.92832767697;max;covariance;52;0.857503519078316;0.21289745824336864;True
1;3;0.9138652717633334;max;covariance;90;0.857503519078316;0.08542016175667373;True
1;4;0.9100337799733333;max;covariance;45;0.8621068563853604;0.21289745824336864;True
1;5;0.9076125635533333;max;covariance;52;0.5188139168802064;0.21289745824336864;True
1;6;0.9069454937233333;max;covariance;52;0.857503519078316;0.12467225027526095;True
1;7;0.9057348855133334;max;covariance;52;0.6969052231567564;0.21289745824336864;True
1;8;0.9057348855133334;max;covariance;52;0.857503519078316;0.12091780421469951;True
1;9;0.9045242773033333;max;covariance;52;0.6495227447119789;0.21289745824336864;True
1;10;0.9045242773033333;max;covariance;90;0.5321101714504547;0.29578331929475365;True
1;11;0.90381328518;max;covariance;90;0.5188139168802064;0.21289745824336864;True
1;12;0.90260267697;max;covariance;97;0.857503519078316;0.21289745824336864;True
1;13;0.90260267697;max;covariance;103;0.5772664987235917;0.21289745824336864;True
1;14;0.90260267697;max;covariance;108;0.5188139168802064;0.21289745824336864;True
1;15;0.90260267697;max;covariance;52;0.857503519078316;0.08542016175667373;True
1;16;0.8992529858466667;max;covariance;90;0.857503519078316;0.21289745824336864;True
1;17;0.8987711851800001;max;covariance;52;0.874711511719651;0.10610529109437473;True
1;18;0.8987711851800001;median;covariance;49;0.7765282162239405;0.1259361183160142;False
1;19;0.8976044992633334;max;covariance;52;0.6801500678759896;0.10893302827190827;True
1;20;0.8976044992633334;max;covariance;52;0.857503519078316;0.26625014184399554;True
42;1;0.9119553803066667;max;covariance;20;0.7079681394266342;0.11027549474045643;True
42;2;0.9119553803066667;max;covariance;20;0.7079681394266342;0.251627717425026;True
42;3;0.9107998910533334;sum;covariance;160;0.5524052915801786;0.12200728624708222;False
42;4;0.9088231717633334;max;covariance;20;0.5363590101938024;0.07312840662411706;True
42;5;0.9088231717633334;max;covariance;20;0.8876142869697383;0.29578120511579775;True
42;6;0.9088231717633334;max;covariance;20;0.8389659233361426;0.05231848680963423;True
42;7;0.9057348855133334;max;covariance;20;0.5534400634926163;0.251627717425026;True
42;8;0.9057348855133334;max;covariance;50;0.7079681394266342;0.2119779241391413;True
42;9;0.9045242773033333;max;covariance;20;0.7079681394266342;0.21479373739839902;True
42;10;0.9045242773033333;max;covariance;139;0.5499304651412837;0.28057384300703997;False
42;11;0.9026143858466668;max;covariance;20;0.6510319126114306;0.251627717425026;True
42;12;0.90260267697;max;covariance;20;0.7079681394266342;0.16750755210697127;True
42;13;0.90260267697;max;covariance;20;0.7079681394266342;0.12181596668932242;True
42;14;0.90260267697;max;covariance;109;0.6001471609648016;0.13026456398914288;True
42;15;0.9023412720966667;sum;covariance;20;0.7079681394266342;0.251627717425026;True
42;16;0.9023412720966667;sum;covariance;160;0.5798291320103007;0.1819184468545635;False
42;17;0.9006927855133334;max;covariance;99;0.7079681394266342;0.251627717425026;True
42;18;0.9006927855133334;max;covariance;40;0.7079681394266342;0.19982108969450446;True
42;19;0.9006927855133334;max;covariance;160;0.5524052915801786;0.12200728624708222;True
42;20;0.8992529858466667;max;covariance;20;0.5524052915801786;0.12200728624708222;False
