Method_1;Method_2;RBO_Score
Reg_Coefficient;Permutation;0.8564295583466667
VIP_Score;Permutation;0.7176739873833333
Permutation;LRC_perturbation;0.6823143885166666
VIP_Score;Reg_Coefficient;0.6718061959266666
Reg_Coefficient;LRC_perturbation;0.6522465717633333
VIP_Score;LRC_perturbation;0.5841575011333333
LRC_perturbation;LRC_covariance;0.24906860113333332
Permutation;LRC_covariance;0.046807214883333316
Reg_Coefficient;LRC_covariance;0.02182590633999999
VIP_Score;LRC_covariance;0.003132208543333332
