Method_1;Method_2;RBO_Score
Shap;LRC_perturbation;0.91508758885
Permutation;LRC_covariance;0.8636546635533333
Shap;Permutation;0.5473043751
Permutation;LRC_perturbation;0.50504548885
Shap;LRC_covariance;0.4392065635533332
LRC_perturbation;LRC_covariance;0.42267267730333324
