energy;Mean_Abs_SHAP;Zone
4.54;0.04167228314269333;Ti ka
3.68;0.03157412727055723;Ca ka
6.43;0.017722170429216907;Fe ka
8.03;0.011628036054153561;Cu ka
4.95;0.004988209748999886;Ti kb
7.04;0.0032398194455861462;Fe kb
21.9;0.0012047242217307504;Ag ka scattering
4.03;0.0008929092957053829;Ca kb
20.04;0.0005638014958758446;background4
25.11;0.0004604186662018451;background6
23.88;0.00044351245189833426;background5
9.84;0.00042226762705874395;Zn kb
8.88;0.0004135448819494255;Cu kb
2.51;0.00037806084914270705;background1
3.45;0.00033937937061027674;Ar ka + Ag L
6.1;0.00033540273776893064;background2
7.78;0.00027539218198447394;background3
8.42;0.00023498097122280875;Zn ka
