Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -23.71;15.988192472009542;Fe ka;-23.71;>;-228.33668648850633;46.0;0.003067794371457211;Fe ka > -228.336686
Fe ka > -24.15;11.434537218521868;Fe ka;-24.15;>;-232.83390877454198;112.0;0.002150237939737565;Fe ka > -232.833909
Fe ka > -24.62;8.060821168559686;Fe ka;-24.62;>;-240.22743722985902;43.0;0.003827232094458566;Fe ka > -240.227437
Ca ka > -26.11;6.489697035928625;Ca ka;-26.11;>;-287.2399346089766;110.0;0.0009940497472946674;Ca ka > -287.239935
Ca ka > -21.19;6.180079838318373;Ca ka;-21.19;>;-238.4391368655739;152.0;0.14959513573050032;Ca ka > -238.439137
Fe kb > -7.02;5.2798881180783095;Fe kb;-7.02;>;-31.34581436785017;85.0;0.0024623125206639784;Fe kb > -31.345814
Ca ka > -6.65;4.58296647667232;Ca ka;-6.65;>;-72.18051074027585;102.0;0.0005107832835733461;Ca ka > -72.180511
Ti ka <= 19.85;3.6381871670605364;Ti ka;19.85;<=;207.52192897970218;41.0;0.06629938013663761;Ti ka <= 207.521929
Ti ka > -28.53;3.4820330481539794;Ti ka;-28.53;>;-308.11787087731557;246.0;0.0075041448801407284;Ti ka > -308.117871
Fe kb > -7.41;3.135616098125425;Fe kb;-7.41;>;-32.28914393806889;4.0;0.0013349364419168452;Fe kb > -32.289144
Ti ka <= 9.34;3.064344654851679;Ti ka;9.34;<=;101.58030448709047;11.0;0.037350308362215756;Ti ka <= 101.580304
Fe kb > -7.79;2.7837446875081575;Fe kb;-7.79;>;-34.449506865310696;82.0;0.00029239586232066017;Fe kb > -34.449507
Ca kb > -6.07;2.3147916094535956;Ca kb;-6.07;>;-31.420959441614116;82.0;0.00892859917465394;Ca kb > -31.420959
Ca kb > -8.59;2.0091455960368148;Ca kb;-8.59;>;-41.99228156827265;20.0;0.00058474089467353;Ca kb > -41.992282
Cu ka > -10.68;1.6946048155522457;Cu ka;-10.68;>;-63.343845259174884;100.0;0.000256507186646715;Cu ka > -63.343845
Cu ka > -9.68;1.1952070920676887;Cu ka;-9.68;>;-56.53705861716499;89.0;0.01063324064931237;Cu ka > -56.537059
Ca kb > -2.67;1.0422491292500766;Ca kb;-2.67;>;-13.73423572808553;168.0;0.006003648229519598;Ca kb > -13.734236
Cu ka > -8.43;0.8509318449616823;Cu ka;-8.43;>;-48.854520056179474;86.0;0.003121716892731996;Cu ka > -48.854520
Ti kb <= 6.95;0.7319845763667785;Ti kb;6.95;<=;34.81809604607406;124.0;0.04290964537989783;Ti kb <= 34.818096
Ti kb > -10.26;0.6823608102415464;Ti kb;-10.26;>;-52.26985447956407;249.0;0.013367152494184964;Ti kb > -52.269854
Ca ka <= 33.38;0.6770170620727093;Ca ka;33.38;<=;368.31223368258037;279.0;0.19138415160997369;Ca ka <= 368.312234
Ti kb <= 2.45;0.41148293466748526;Ti kb;2.45;<=;14.56791457086156;54.0;0.002305021153972131;Ti kb <= 14.567915
Ti ka <= -4.69;0.18029379801239764;Ti ka;-4.69;<=;-49.91769146235964;64.0;0.07051853690125576;Ti ka <= -49.917691
Cu kb > -2.30;0.1773156974342164;Cu kb;-2.30;>;-8.474541802159205;221.0;0.00043017730029948353;Cu kb > -8.474542
Cu kb > -1.61;0.15503417482279735;Cu kb;-1.61;>;-5.8958353534989385;282.0;2.298253512988957e-05;Cu kb > -5.895835
Cu kb > -2.88;0.1495973899483149;Cu kb;-2.88;>;-10.256306875766928;6.0;0.004113967702509491;Cu kb > -10.256307
Ca kb <= 12.61;0.14544053981168495;Ca kb;12.61;<=;61.76939950290752;232.0;0.11336372975688036;Ca kb <= 61.769400
Ag ka scattering <= 3.49;0.12820793838357733;Ag ka scattering;3.49;<=;120.02478579542526;2.0;0.03732222018816689;Ag ka scattering <= 120.024786
Ag ka scattering <= 1.67;0.12801804727258348;Ag ka scattering;1.67;<=;91.08538726975718;178.0;0.007816470797622266;Ag ka scattering <= 91.085387
Ca ka <= -6.65;0.12242114654547342;Ca ka;-6.65;<=;-72.18051074027585;102.0;0.0005107832835733461;Ca ka <= -72.180511
Ag ka scattering <= -0.18;0.1143455946891854;Ag ka scattering;-0.18;<=;-4.365207712963068;166.0;0.011506087908191853;Ag ka scattering <= -4.365208
Ti kb <= -2.91;0.06230121032583247;Ti kb;-2.91;<=;-11.921478948985765;64.0;0.0022389451467135224;Ti kb <= -11.921479
Ag ka scattering > -1.65;0.05918934292023102;Ag ka scattering;-1.65;>;-208.9929522617767;28.0;0.026535677760395338;Ag ka scattering > -208.992952
Ca kb <= -2.67;0.05084197126503023;Ca kb;-2.67;<=;-13.73423572808553;168.0;0.006003648229519598;Ca kb <= -13.734236
background3 <= -0.30;0.045244580397882046;background3;-0.30;<=;-12.279260287315816;225.0;0.0001927262244805772;background3 <= -12.279260
background3 <= 2.86;0.04187893013395878;background3;2.86;<=;42.51801968349431;101.0;0.006307107681714275;background3 <= 42.518020
Cu ka <= -3.28;0.04093610549962223;Cu ka;-3.28;<=;-21.788892729173952;155.0;0.2079654916392828;Cu ka <= -21.788893
Ag ka scattering > -0.18;0.04026952293463682;Ag ka scattering;-0.18;>;-4.365207712963068;166.0;0.011506087908191853;Ag ka scattering > -4.365208
background3 <= 1.29;0.03979235871128643;background3;1.29;<=;20.88289967745762;123.0;0.006925918007217202;background3 <= 20.882900
Ti ka > -4.69;0.03752765649429847;Ti ka;-4.69;>;-49.91769146235964;64.0;0.07051853690125576;Ti ka > -49.917691
Ca ka <= -21.19;0.02844446931797555;Ca ka;-21.19;<=;-238.4391368655739;152.0;0.14959513573050032;Ca ka <= -238.439137
Zn ka > -1.75;0.028257218956979118;Zn ka;-1.75;>;-5.879768274068617;80.0;0.0007468255297706783;Zn ka > -5.879768
Zn ka > -0.78;0.024754257694967807;Zn ka;-0.78;>;-2.7151789383155744;51.0;0.00017065786291081686;Zn ka > -2.715179
Zn ka <= 1.38;0.022227773232053962;Zn ka;1.38;<=;4.941893410603221;15.0;0.007102095871815539;Zn ka <= 4.941893
Ti kb > -2.91;0.020188609630730714;Ti kb;-2.91;>;-11.921478948985765;64.0;0.0022389451467135224;Ti kb > -11.921479
background1 <= 2.08;0.01931670435874063;background1;2.08;<=;6.185186529864862;151.0;0.05178665999000609;background1 <= 6.185187
Ag ka scattering > 1.67;0.017705589944821486;Ag ka scattering;1.67;>;91.08538726975718;178.0;0.007816470797622266;Ag ka scattering > 91.085387
Cu ka <= -8.43;0.01724445247028341;Cu ka;-8.43;<=;-48.854520056179474;86.0;0.003121716892731996;Cu ka <= -48.854520
