energy;Mean_Abs_SHAP;Zone
3.7;0.0322549502756057;Ca ka
6.4;0.02833953423438205;Fe ka
3.36;0.021163925184694;K
1.72;0.009588864112920195;Si
4;0.006028554825162655;Ca kb
4.5;0.0051507436181949424;Ti ka
2.56;0.0027182799873249107;Rh L + Ar
15.99;0.0006544593814430776;background4
5.94;0.0005495669547306033;Mn
13.19;0.0005148527397859535;sum Fe
2;0.0004957669569537661;P
19.89;0.00046689366907473953;Rayleight scattering
7.2;0.000459162449164885;Ni
5.6;0.00043626032218721837;background2
7.89;0.0004010824137943784;background3
2.34;0.00022219417633283299;S
4.88;0.00014949890177102712;Ti kb
7;0.00013382436875603693;Fe kb
19.09;0.0;Compton scattering
1.6;0.0;Al
20.81;0.0;
4.14;0.0;background1
