SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Si;Fe ka;Si;Fe ka
Ca ka;Ca ka;K;Ca ka;Ca ka
Si;Fe ka;Ca ka;Fe ka;Si
K;K;Si;K;K
Ca kb;background4;Rh L + Ar;Rh L + Ar;Ti ka
Ti ka;Rh L + Ar;Ca kb;Ca kb;Fe kb
Fe kb;background3;Ti ka;Ti ka;Ca kb
Rh L + Ar;Compton scattering;Fe kb;Fe kb;Rh L + Ar
P;S;P;background3;background4
S;sum Fe;Mn;background4;Compton scattering
sum Fe;Al;S;P;sum Fe
Al;Rayleight scattering;Al;Mn;Rayleight scattering
Ti kb;background2;sum Fe;Compton scattering;Al
Ni;Ti kb;Ni;S;background3
Mn;background1;Ti kb;sum Fe;Ti kb
Compton scattering;Ti ka;background3;Ti kb;P
background3;Mn;Compton scattering;Al;Mn
Rayleight scattering;P;background4;Ni;S
background4;Ca kb;Rayleight scattering;Rayleight scattering;Ni
background1;Fe kb;background1;background2;background2
background2;Ni;background2;background1;background1
;;;;
