energy;Reg_coef;Abs_Reg_coef;Zone
4.54;-0.0049840257359787385;0.0049840257359787385;Ti ka
4.95;-0.0018185943055138724;0.0018185943055138724;Ti kb
21.92;-0.0013958840539489686;0.0013958840539489686;Ag ka scattering
3.73;0.0012974442946875973;0.0012974442946875973;Ca ka
8.09;-0.0010190513752661246;0.0010190513752661246;Cu
4.03;0.0005842291406939165;0.0005842291406939165;Ca kb
8.93;-0.00044959201549718466;0.00044959201549718466;background4
5.97;-0.0003683659189681848;0.0003683659189681848;background2
2.91;-0.00036158559001040977;0.00036158559001040977;Ar ka + Ag L
22.76;-0.00029770666115463555;0.00029770666115463555;background5
6.51;0.00029027454657961976;0.00029027454657961976;Fe ka
1.54;-0.00027486614891262;0.00027486614891262;background1
7.75;-0.00024044922910781844;0.00024044922910781844;background3
7.09;0.00023699569455307834;0.00023699569455307834;Fe kb
