Seed;Rank;Fitness_RBO_Score;Agregador;Métrica;N_Bags;Frac_Samples_per_Bag;Frac_Min_Samples_per_Predicate;Replacement
0;1;0.87300736689;max;covariance;20;0.8863747996685467;0.13487593495905176;False
0;2;0.87300736689;max;covariance;20;0.8320695063441745;0.08831720799667113;False
0;3;0.87300736689;max;covariance;20;0.8320695063441745;0.1468093048004202;False
0;4;0.87300736689;max;covariance;20;0.8320695063441745;0.13487593495905176;False
0;5;0.8698751583466667;max;covariance;20;0.7492982444714011;0.13487593495905176;False
0;6;0.8698751583466667;max;covariance;51;0.6264448081349595;0.2284042224698466;False
0;7;0.8679974803066667;max;covariance;20;0.8320695063441745;0.2284042224698466;False
0;8;0.86796526689;max;covariance;20;0.8320695063441745;0.2606094090154999;False
0;9;0.86796526689;max;covariance;20;0.7668315402538559;0.13487593495905176;False
0;10;0.86796526689;max;covariance;20;0.8994070815236335;0.13487593495905176;False
0;11;0.8672542747666666;max;covariance;20;0.8646245364522975;0.13487593495905176;False
0;12;0.8660436665566666;max;covariance;20;0.6502235246488979;0.29099901900318415;False
0;13;0.8660436665566666;max;covariance;51;0.8320695063441745;0.13487593495905176;False
0;14;0.8660436665566666;max;covariance;20;0.6264448081349595;0.13487593495905176;False
0;15;0.86487698064;max;covariance;147;0.8320695063441745;0.13487593495905176;False
0;16;0.86487698064;max;covariance;20;0.7542742205925836;0.13487593495905176;False
0;17;0.86487698064;max;covariance;21;0.8320695063441745;0.13487593495905176;False
0;18;0.8648330583466667;max;covariance;20;0.8471213141487535;0.13487593495905176;False
0;19;0.8648330583466667;max;covariance;20;0.7614267960812614;0.25431830482703305;False
0;20;0.8641659885166666;sum;covariance;20;0.7393677295224369;0.10694032357098839;False
1;1;0.8710857665566667;max;covariance;21;0.8700713509869621;0.12931040879506545;True
1;2;0.8691758750999999;max;covariance;21;0.571031244184678;0.12931040879506545;True
1;3;0.86796526689;max;covariance;21;0.571031244184678;0.12931040879506545;False
1;4;0.8660875888499999;sum;covariance;21;0.571031244184678;0.12931040879506545;True
1;5;0.8660875888499999;sum;covariance;122;0.6373369885114392;0.07284430910729094;True
1;6;0.8660758799733334;max;covariance;21;0.849344888730168;0.12931040879506545;True
1;7;0.8660436665566666;max;covariance;21;0.781253912652687;0.12931040879506545;True
1;8;0.8629553803066666;sum;covariance;122;0.614215937297551;0.07284430910729094;True
1;9;0.8629553803066666;sum;covariance;122;0.571031244184678;0.12931040879506545;True
1;10;0.8629553803066666;sum;covariance;21;0.6373369885114392;0.12931040879506545;True
1;11;0.8629553803066666;sum;covariance;21;0.6373369885114392;0.07284430910729094;True
1;12;0.8629553803066666;sum;covariance;122;0.6373369885114392;0.12931040879506545;True
1;13;0.8629553803066666;sum;covariance;122;0.6373369885114392;0.07284430910729094;False
1;14;0.8629553803066666;sum;covariance;50;0.7972586641689992;0.2738938486603729;True
1;15;0.8629553803066666;sum;covariance;21;0.571031244184678;0.07284430910729094;True
1;16;0.8629553803066666;sum;covariance;122;0.6136189782934237;0.07284430910729094;True
1;17;0.8629553803066666;sum;covariance;89;0.6553835286383279;0.15291076292905365;False
1;18;0.8629553803066666;sum;covariance;122;0.571031244184678;0.07284430910729094;True
1;19;0.8629553803066666;sum;covariance;143;0.5418751720479831;0.1266960737128784;False
1;20;0.8629553803066666;sum;covariance;106;0.6553835286383279;0.20099563222292782;False
42;1;0.87300736689;max;covariance;48;0.6174000514589705;0.2796129753073738;True
42;2;0.8710857665566667;max;covariance;48;0.6060226515760236;0.2796129753073738;False
42;3;0.8698751583466667;max;covariance;48;0.5358924291235395;0.2796129753073738;True
42;4;0.8691758750999999;max;covariance;61;0.8349903690425686;0.1879201052815978;False
42;5;0.86796526689;max;covariance;48;0.5557116589139103;0.2796129753073738;True
42;6;0.86796526689;max;covariance;48;0.8349903690425686;0.1879201052815978;False
42;7;0.86796526689;max;covariance;45;0.8349903690425686;0.1879201052815978;False
42;8;0.86796526689;max;covariance;62;0.8349903690425686;0.19498084597085102;False
42;9;0.8660436665566666;max;covariance;48;0.6346575776792692;0.2796129753073738;True
42;10;0.86487698064;sum;covariance;57;0.8154575017110438;0.25843623865995174;False
42;11;0.86487698064;sum;covariance;55;0.6060226515760236;0.11963628616673512;False
42;12;0.86487698064;sum;covariance;62;0.6060226515760236;0.06133670275334553;False
42;13;0.8629553803066666;sum;covariance;62;0.6060226515760236;0.06133670275334553;True
42;14;0.8629553803066666;max;covariance;48;0.6060226515760236;0.2796129753073738;True
42;15;0.8629553803066666;sum;covariance;45;0.5202353318099525;0.08953943858616743;True
42;16;0.8629553803066666;sum;covariance;57;0.8154575017110438;0.06133670275334553;False
42;17;0.8629553803066666;sum;covariance;45;0.5202353318099525;0.198995408793605;True
42;18;0.8629553803066666;max;covariance;45;0.6111485366686568;0.19498084597085102;False
42;19;0.8629553803066666;max;covariance;45;0.5202353318099525;0.08953943858616743;True
42;20;0.8629553803066666;sum;covariance;55;0.6687526559337617;0.11963628616673512;False
