VIP_Score;Reg_Coefficient;Shap;Permutation;LRC_perturbation;LRC_covariance
Ag La;Ag ka;Ag La;Ag ka;Ag La;Ag La
Ag Lb;Zn;Ag ka;Ag La;Ag Lb;Ag Lb
Ag ka;Ag La;Ag Lb;Ag Lb;Ag ka;Ag ka
Zn;Fe;Fe;Zn;Bremsstrahlung;Bremsstrahlung
Ag compton;Ag Lb;Zn;Fe;Ag compton;Ag compton
Fe;Bremsstrahlung;Ag compton;Ag compton;Zn;Fe
Bremsstrahlung;Ag compton;Bremsstrahlung;Bremsstrahlung;Fe;Ca
Ca;Ca;Ca;Ca;Ca;Cu
background;background;Cu;Cu;Cu;Zn
Cu;Cu;background;background;background;background
;;;;;
