VIP_Score;Reg_Coefficient;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Ti ka;Ti ka;Ti ka;Ti ka;Fe ka
Ca ka;Ti kb;Ca ka;Ca ka;Ca ka;Ca ka
Ti ka;Ag ka scattering;Cu ka;Ti kb;Cu ka;Fe kb
Cu ka;Ca ka;Fe ka;Cu ka;Ti kb;Ti ka
Fe kb;Cu ka;Ti kb;Fe ka;Ag ka scattering;Ca kb
Ca kb;Ca kb;Ag ka scattering;Ca kb;Fe ka;Cu ka
Ti kb;background3;Ca kb;Ag ka scattering;Ca kb;Ti kb
Ag ka scattering;Cu kb;background3;Fe kb;background3;Cu kb
Cu kb;background1;Ar ka + Ag L;Cu kb;Cu kb;Ag ka scattering
background3;Ar ka + Ag L;Fe kb;background3;Fe kb;background3
Zn ka;Zn ka;background1;Zn ka;background1;Zn ka
background1;Fe ka;background2;background1;Zn ka;background1
Ar ka + Ag L;;Zn ka;Ar ka + Ag L;Ar ka + Ag L;Ar ka + Ag L
;Zn kb;;;Zn kb;Zn kb
Zn kb;Fe kb;Cu kb;Zn kb;background2;background2
background2;background2;Zn kb;background2;;
