energy;Permutation;Zone
22.23;0.013432835820895528;Ag ka
3.05;0.007835820895522417;Ag La
7.96;0.003731343283582156;Cu
3.28;0.0033582089552239404;Ag Lb
14.66;0.0029850746268657246;Bremsstrahlung
8.60;0.0022388059701492933;Zn
21.41;0.0011194029850746467;Ag compton
4.91;0.0011194029850746467;background
6.35;0.0011194029850746467;Fe
3.74;0.00037313432835821557;Ca
