energy;Mean_Abs_SHAP;Zone
6.4;0.05664970692427117;Fe ka
3.7;0.005163129936601437;Ca ka
4.5;0.0021139984526932034;Ti ka
5.92;7.375642579040145e-05;Mn
7;4.546450029968097e-05;Fe kb
1.46;1.3099079888133478e-05;Al
9.64;7.384389995468997e-06;background6
11.02;0.0;Fe ka + Ti ka
11.14;0.0;background7
13.7;0.0;background8
1.22;0.0;background1
12.82;0.0;sum Fe
3.08;0.0;Rh L + Ar
3.22;0.0;K
8;0.0;Cu
4.06;0.0;Ca kb
4.14;0.0;background3
1.64;0.0;Si
2.2;0.0;S
2.46;0.0;background2
1.86;0.0;P
7.3;0.0;background5
5.06;0.0;Ti kb
5.12;0.0;Cr
4.66;0.0;background4
