Method_1;Method_2;RBO_Score
Permutation;LRC_perturbation;0.9501647799733334
Shap;LRC_perturbation;0.9107998910533334
Shap;Permutation;0.90887829072
Reg_Coefficient;Permutation;0.8554898803066666
Reg_Coefficient;LRC_perturbation;0.8377453858466668
VIP_Score;LRC_covariance;0.8197360940566666
Reg_Coefficient;Shap;0.8139302773033333
VIP_Score;Permutation;0.7968757720966667
VIP_Score;LRC_perturbation;0.7949541717633334
VIP_Score;Reg_Coefficient;0.7856131773033334
VIP_Score;Shap;0.75487829072
Permutation;LRC_covariance;0.6460699992633333
LRC_perturbation;LRC_covariance;0.6460699992633333
Reg_Coefficient;LRC_covariance;0.6398172910533332
Shap;LRC_covariance;0.6378956907199999
