energy;Mean_Abs_SHAP;Zone
3.324;0.01048187280923127;K
8.643;0.003954598365867832;Zn ka
17.06;0.0038950923173990746;Mo compton scattering
6.366;0.0032833225954249663;Fe ka
8.023;0.002434738331495269;Cu
1.758;0.0010746267111998503;Si
17.225;0.0006256254069328937;Mo rayleigh scattering
2.593;0.0003193790369830531;Cl
1.983;7.88479982976265e-05;background1
14.798;5.7740224900838654e-05;background5
11.445;0.0;background4
10.695;0.0;Pb La
12.641;0.0;Pb Lb
18.416;0.0;background6
4.245;0.0;
3.664;0.0;Ca
2.984;0.0;background2
9.093;0.0;Ga
9.414;0.0;Zn kb
10.259;0.0;background3
6.732;0.0;Fe kb
7.672;0.0;Ni
