gen;nevals;mean;std;var;min;max;Seed
0;200;0.14240628408025;0.16393152176652637;0.026873543828689107;0.0;0.6510359635533333;0
1;138;0.3654378573191333;0.16726447704877304;0.027977405282399524;0.0;0.6510359635533333;0
2;128;0.4795701577258666;0.17546565317376603;0.030788195443696348;0.0;0.6644815635533332;0
3;136;0.4815951997182833;0.17707420532390494;0.03135527419109245;0.0;0.6695236635533333;0
4;137;0.5060409349126833;0.1738047167001296;0.03020807954721231;0.0;0.6695236635533333;0
5;126;0.5028610403817;0.17775127219072723;0.031595514765421995;0.0;0.6695236635533333;0
6;143;0.44584276644646664;0.18153383141724708;0.032954531949025485;0.0;0.6757441583466667;0
7;123;0.4801778330053999;0.1794646056926151;0.03220754469640581;0.06594998771666664;0.6757441583466667;0
8;132;0.44955453476859986;0.18596345419263127;0.034582406295254865;0.0;0.7000681769699999;0
9;144;0.43557761311098325;0.18835447937625663;0.03547740990110069;0.0;0.7082102720966666;0
10;138;0.47234418843859993;0.1874428304284699;0.03513481467903612;0.05154398771666665;0.7536125635533333;0
11;124;0.48477886521651664;0.19751624602791534;0.039012667444959986;0.0;0.7536125635533333;0
12;119;0.5109112155058498;0.19281715856586168;0.03717845663741264;0.09385799292333331;0.7536125635533333;0
13;134;0.5022491903132166;0.20475545025197617;0.04192479440788949;0.0;0.7536125635533333;0
14;131;0.507732579344;0.22060729260095607;0.04866757754872385;0.0;0.7536125635533333;0
15;136;0.48477867199751656;0.22012969194734255;0.048457081276831925;0.0;0.7536125635533333;0
16;136;0.4874290420335333;0.21664549706901426;0.04693527140028027;0.0;0.7536125635533333;0
17;118;0.5398386273290666;0.21710586032100085;0.047134954585721936;0.0;0.7536125635533333;0
18;135;0.5161607116639;0.21223246616682995;0.045042619695254624;0.0;0.7536125635533333;0
19;130;0.51167136963845;0.2148118158320908;0.0461441162210801;0.0;0.7536125635533333;0
20;150;0.4749870485965167;0.2116280913380359;0.04478644904338006;0.0;0.7536125635533333;0
21;146;0.4800937274253167;0.21185889040929823;0.04488418944545904;0.0;0.7536125635533333;0
22;150;0.4720332240715166;0.20882500296811837;0.04360788186463464;0.0;0.7536125635533333;0
23;140;0.4815074609608;0.21390423680135826;0.04575502252157154;0.0;0.7536125635533333;0
24;141;0.47060230928891655;0.22503873484197306;0.050642432179275866;0.0;0.7536125635533333;0
25;120;0.5172026657863333;0.21982486955162175;0.04832297327338752;0.0;0.7536125635533333;0
26;146;0.4792123119304166;0.20850893059540793;0.043475974138040635;0.0;0.7536125635533333;0
27;127;0.5169475930913333;0.2218164733511827;0.04920254784995595;0.0;0.7536125635533333;0
28;129;0.5070656849285;0.2231547699413344;0.049798051347569885;0.0;0.7536125635533333;0
29;136;0.4798708214248666;0.22598696768350982;0.05107010956278771;0.0;0.7536125635533333;0
30;139;0.49154033474239994;0.22106474929031564;0.048869623378790104;0.0;0.7536125635533333;0
31;135;0.5019625379157666;0.22345642666046833;0.04993277461586526;0.0;0.7536125635533333;0
32;130;0.52143270917375;0.21144442868924346;0.04470874642372056;0.0;0.7536125635533333;0
33;131;0.4875868080419499;0.22187884602567862;0.0492302223136868;0.0;0.7536125635533333;0
34;139;0.4888467937014166;0.21011362381921148;0.044147734914441114;0.0;0.7536125635533333;0
35;125;0.5297377029400999;0.214115713053124;0.045845538576247735;0.0;0.7536125635533333;0
36;145;0.47193452102371664;0.222990636547005;0.04972482398763848;0.0;0.7536125635533333;0
37;143;0.48919471698848327;0.2122495895878393;0.045049888280206216;0.0;0.7536125635533333;0
38;132;0.5114417459608166;0.21832425117462312;0.04766547865095992;0.0;0.7536125635533333;0
39;146;0.48037451491363325;0.21947557310522478;0.04816952718986686;0.0;0.7536125635533333;0
40;144;0.47523410113858333;0.21905110955577983;0.04798338859761826;0.0;0.7536125635533333;0
41;133;0.5028830257199;0.22406877476580808;0.05020681582505043;0.0;0.7536125635533333;0
42;120;0.5138824848407333;0.23164652330897662;0.05366011176113625;0.0;0.7536125635533333;0
43;116;0.5337162141501666;0.22405512859837112;0.05020070065123262;0.0;0.7536125635533333;0
44;127;0.5183305161577666;0.2217993288555036;0.04919494228075184;0.0;0.7536125635533333;0
45;146;0.47245877601844993;0.2233528512490722;0.04988649616109017;0.0;0.7536125635533333;0
46;123;0.5127604143439833;0.22699941536513787;0.0515287345761144;0.0;0.7536125635533333;0
47;145;0.49582775812801655;0.2109078813975745;0.044482134435613344;0.0;0.7536125635533333;0
48;135;0.4951775789410999;0.22276820779053527;0.049625674402207096;0.0;0.7536125635533333;0
49;130;0.5140224047858666;0.22484393276668377;0.05055479410198901;0.0;0.7536125635533333;0
50;134;0.5023705649070332;0.2194773204603656;0.04817029419646202;0.0;0.7536125635533333;0
0;200;0.14697563182258333;0.17230895384933684;0.029690375576652894;0.0;0.6594716769699999;1
1;135;0.37538833586283327;0.1836843120610205;0.03373992649733036;0.0;0.7173574635533333;1
2;140;0.45856357836574996;0.18773054651025223;0.03524275809303797;0.0;0.7173574635533333;1
3;139;0.4975666382817;0.18927722981839507;0.03582586972772554;0.0;0.7173574635533333;1
4;143;0.4944870228717666;0.19897389425351342;0.03959061059440834;0.0;0.7173574635533333;1
5;114;0.5303202791204167;0.20397239225971864;0.041604736804152526;0.0;0.7173574635533333;1
6;138;0.49087572728545;0.20878773900846764;0.043592319960268;0.0;0.7173574635533333;1
7;134;0.4687605957584667;0.2279955044556028;0.05198195005196479;0.0;0.7173574635533333;1
8;154;0.4553329305769999;0.21555972532629364;0.04646599518274716;0.0;0.7173574635533333;1
9;129;0.47744318347209996;0.22868057033485617;0.052294803248675095;0.0;0.7173574635533333;1
10;133;0.5112164001417167;0.20408659536620524;0.04165133840816918;0.0;0.7173574635533333;1
11;139;0.46614516470968326;0.22657603729927656;0.051336700678243155;0.0;0.7173574635533333;1
12;130;0.4847301623746833;0.22223702333618664;0.04938929454132877;0.0;0.7548231717633334;1
13;128;0.49335364027281664;0.21605691236363547;0.04668058938010766;0.0;0.7548231717633334;1
14;149;0.4590026933601166;0.21488436303676012;0.04617528947771412;0.0;0.7548231717633334;1
15;148;0.46830388429135;0.21595069981770418;0.046634704751756184;0.0;0.7548231717633334;1
16;146;0.48653344330651666;0.21249847570136385;0.04515560217540312;0.0;0.7548231717633334;1
17;141;0.4831638908683166;0.22496488743387089;0.05060920057813419;0.0;0.7548231717633334;1
18;126;0.5068307341455668;0.23449160103732528;0.054986310957048125;0.0;0.7548231717633334;1
19;138;0.5040846869297999;0.22233952042457997;0.04943486234263221;0.0;0.7548231717633334;1
20;128;0.5372368820396167;0.215882990690548;0.046605465669495236;0.0;0.7548231717633334;1
21;126;0.51669996463575;0.2309343932423373;0.05333069398220649;0.0;0.7548231717633334;1
22;139;0.5024639900651833;0.2238107332270888;0.050091244307647116;0.0;0.7548231717633334;1
23;140;0.49777878082583327;0.2228851822749283;0.049677804477728;0.0;0.7548231717633334;1
24;132;0.5117057436847;0.22461421298117623;0.0504515446731532;0.0;0.7548231717633334;1
25;144;0.47831157915961664;0.22176286330012787;0.049178767539071196;0.0;0.7548231717633334;1
26;126;0.5283845262972333;0.22340488049249344;0.049909740627865275;0.0;0.7548231717633334;1
27;134;0.49112469985825;0.23518931168989593;0.055314012333167024;0.0;0.7548231717633334;1
28;137;0.48294384936464996;0.24059043668419916;0.05788375822389364;0.0;0.7548231717633334;1
29;136;0.48994081095009995;0.23398827193207145;0.05475051140175701;0.0;0.7548231717633334;1
30;134;0.4914320825598;0.2363261620333224;0.05585005486140016;0.0;0.7548231717633334;1
31;130;0.5067883109176999;0.23356976710867122;0.05455483610719892;0.0;0.7548231717633334;1
32;137;0.49534161691496664;0.23867757861783997;0.056966986534875176;0.0;0.7548231717633334;1
33;136;0.51091239334425;0.2163513379021945;0.046807901412069544;0.11974458250999997;0.7548231717633334;1
34;134;0.4984452150689333;0.22530986679582815;0.050764536075553826;0.0;0.7548231717633334;1
35;159;0.4674723480204666;0.21205842314219375;0.0449687748255537;0.0;0.7548231717633334;1
36;131;0.4851505573689666;0.24506797215020842;0.06005831097381533;0.0;0.7548231717633334;1
37;143;0.49549803511525;0.22390217140035082;0.05013218235779208;0.0;0.7548231717633334;1
38;132;0.49374382317439997;0.22784606449933847;0.05191382910783671;0.0;0.7548231717633334;1
39;140;0.5026297694102666;0.22587221054498113;0.05101825549647629;0.0;0.7548231717633334;1
40;121;0.5195931931588167;0.23548282050162903;0.055452158751402435;0.0;0.7548231717633334;1
41;140;0.4691547064357667;0.23386085940469895;0.05469090156150437;0.0;0.7548231717633334;1
42;148;0.4956310897922333;0.21696997262758108;0.04707596902201328;0.0;0.7548231717633334;1
43;135;0.4988712749887833;0.22619075084157483;0.05116225576627538;0.0;0.7548231717633334;1
44;139;0.5057857708508834;0.21763393890054492;0.04736453136136611;0.0;0.7548231717633334;1
45;138;0.50834387575885;0.22431902084839367;0.05031902311438207;0.0;0.7548231717633334;1
46;134;0.49374849901588336;0.23343054754234555;0.05448982052591925;0.0;0.7548231717633334;1
47;119;0.5107929444497666;0.24523798549102135;0.060141669527694404;0.0;0.7548231717633334;1
48;129;0.49883195164076666;0.24146798141348738;0.05830678604790429;0.0;0.7548231717633334;1
49;146;0.47490206405086666;0.23298909150149807;0.05428391675869344;0.0;0.7548231717633334;1
