Method_1;Method_2;RBO_Score;Model
VIP_Score;Shap;0.9364697720966668;PLS
VIP_Score;LRC_covariance;0.84540468885;PLS
Shap;LRC_covariance;0.8185254858466666;PLS
Shap;Permutation;0.8114997668899999;PLS
Permutation;LRC_perturbation;0.8064898803066666;PLS
Shap;LRC_perturbation;0.8052792720966666;PLS
VIP_Score;LRC_perturbation;0.78560198064;PLS
VIP_Score;Permutation;0.7836803803066666;PLS
Permutation;LRC_covariance;0.7147360940566666;PLS
LRC_perturbation;LRC_covariance;0.6707459806399999;PLS
Reg_Coefficient;LRC_perturbation;0.5201507720966666;PLS
Reg_Coefficient;Permutation;0.4610987855133332;PLS
Reg_Coefficient;Shap;0.3560987855133332;PLS
VIP_Score;Reg_Coefficient;0.3364214940566666;PLS
Reg_Coefficient;LRC_covariance;0.2215654940566666;PLS
Permutation;LRC_perturbation;0.9635781665566666;SVM
Shap;LRC_perturbation;0.9439559940566667;SVM
Shap;Permutation;0.9408237855133336;SVM
SVM_pvector;LRC_covariance;0.8535914803066667;SVM
Permutation;LRC_covariance;0.8475437717633333;SVM
LRC_perturbation;LRC_covariance;0.8425016717633332;SVM
Shap;LRC_covariance;0.8247571773033333;SVM
SVM_pvector;Permutation;0.8247342717633334;SVM
SVM_pvector;LRC_perturbation;0.8196921717633333;SVM
SVM_pvector;Shap;0.8031582855133333;SVM
Shap;LRC_perturbation;0.9554799937233333;MLP
Shap;LRC_covariance;0.86104548885;MLP
Shap;Permutation;0.8583489751000001;MLP
LRC_perturbation;LRC_covariance;0.8498151074733333;MLP
Permutation;LRC_perturbation;0.8420764937233334;MLP
Permutation;LRC_covariance;0.75604548885;MLP
VIP_Score;Shap;0.9364697720966668;PLS_PCA
Shap;LRC_covariance;0.8598670940566666;PLS_PCA
VIP_Score;LRC_covariance;0.85551308064;PLS_PCA
Shap;Permutation;0.8114997668899999;PLS_PCA
Permutation;LRC_perturbation;0.8064898803066666;PLS_PCA
Shap;LRC_perturbation;0.8052792720966666;PLS_PCA
VIP_Score;LRC_perturbation;0.78560198064;PLS_PCA
VIP_Score;Permutation;0.7836803803066666;PLS_PCA
Permutation;LRC_covariance;0.7560777022666666;PLS_PCA
LRC_perturbation;LRC_covariance;0.7108769806399999;PLS_PCA
Reg_Coefficient;LRC_perturbation;0.5201507720966666;PLS_PCA
Reg_Coefficient;Permutation;0.4610987855133332;PLS_PCA
Reg_Coefficient;Shap;0.3560987855133332;PLS_PCA
VIP_Score;Reg_Coefficient;0.3364214940566666;PLS_PCA
Reg_Coefficient;LRC_covariance;0.2946143858466666;PLS_PCA
Shap;Permutation;0.9408237855133336;SVM_PCA
Permutation;LRC_perturbation;0.9378531665566666;SVM_PCA
LRC_perturbation;LRC_covariance;0.9295060717633334;SVM_PCA
Shap;LRC_perturbation;0.9182309940566667;SVM_PCA
Permutation;LRC_covariance;0.9100337799733332;SVM_PCA
Shap;LRC_covariance;0.9006927855133334;SVM_PCA
SVM_pvector;Permutation;0.8247342717633334;SVM_PCA
SVM_pvector;LRC_covariance;0.8216137720966666;SVM_PCA
SVM_pvector;LRC_perturbation;0.8184815635533332;SVM_PCA
SVM_pvector;Shap;0.8031582855133333;SVM_PCA
LRC_perturbation;LRC_covariance;0.8610337799733333;MLP_PCA
Shap;Permutation;0.8583489751000001;MLP_PCA
Shap;LRC_covariance;0.6181758750999999;MLP_PCA
Shap;LRC_perturbation;0.5867587799733333;MLP_PCA
Permutation;LRC_covariance;0.5047723751000001;MLP_PCA
Permutation;LRC_perturbation;0.4733552799733332;MLP_PCA
