Method_1;Method_2;RBO_Score;Model
Permutation;LRC_perturbation;0.9501647799733334;PLS
Shap;LRC_perturbation;0.9107998910533334;PLS
Shap;Permutation;0.90887829072;PLS
Reg_Coefficient;Permutation;0.8554898803066666;PLS
Reg_Coefficient;LRC_perturbation;0.8377453858466668;PLS
VIP_Score;LRC_covariance;0.8197360940566666;PLS
Reg_Coefficient;Shap;0.8139302773033333;PLS
VIP_Score;Permutation;0.7968757720966667;PLS
VIP_Score;LRC_perturbation;0.7949541717633334;PLS
VIP_Score;Reg_Coefficient;0.7856131773033334;PLS
VIP_Score;Shap;0.75487829072;PLS
Permutation;LRC_covariance;0.6460699992633333;PLS
LRC_perturbation;LRC_covariance;0.6460699992633333;PLS
Reg_Coefficient;LRC_covariance;0.6398172910533332;PLS
Shap;LRC_covariance;0.6378956907199999;PLS
Permutation;LRC_perturbation;0.92711706876;SVM
Shap;Permutation;0.86158318251;SVM
SVM_pvector;LRC_covariance;0.8559916799733334;SVM
Shap;LRC_perturbation;0.8483989873833333;SVM
Permutation;LRC_covariance;0.7044338992633333;SVM
SVM_pvector;Permutation;0.69314839893;SVM
SVM_pvector;LRC_perturbation;0.6691394873833333;SVM
LRC_perturbation;LRC_covariance;0.6660189877166667;SVM
Shap;LRC_covariance;0.6220610877166666;SVM
SVM_pvector;Shap;0.58606739259;SVM
Permutation;LRC_perturbation;0.9017418041366666;MLP
Shap;LRC_perturbation;0.88794646876;MLP
Shap;Permutation;0.87166279072;MLP
Permutation;LRC_covariance;0.8093787803066667;MLP
Shap;LRC_covariance;0.8029966959266666;MLP
LRC_perturbation;LRC_covariance;0.7703519178866667;MLP
Permutation;LRC_perturbation;0.9501647799733334;PLS_PCA
Shap;LRC_perturbation;0.9107998910533334;PLS_PCA
Shap;Permutation;0.90887829072;PLS_PCA
Reg_Coefficient;Permutation;0.8554898803066666;PLS_PCA
Reg_Coefficient;LRC_perturbation;0.8377453858466668;PLS_PCA
VIP_Score;LRC_covariance;0.8271783937233333;PLS_PCA
Reg_Coefficient;Shap;0.8139302773033333;PLS_PCA
VIP_Score;Permutation;0.7968757720966667;PLS_PCA
VIP_Score;LRC_perturbation;0.7949541717633334;PLS_PCA
VIP_Score;Reg_Coefficient;0.7856131773033334;PLS_PCA
VIP_Score;Shap;0.75487829072;PLS_PCA
Shap;LRC_covariance;0.6573437907199999;PLS_PCA
Permutation;LRC_covariance;0.65351229893;PLS_PCA
LRC_perturbation;LRC_covariance;0.65351229893;PLS_PCA
Reg_Coefficient;LRC_covariance;0.6492134044699999;PLS_PCA
Permutation;LRC_perturbation;0.94394428518;SVM_PCA
SVM_pvector;LRC_covariance;0.8516927855133334;SVM_PCA
Shap;Permutation;0.8515311959266666;SVM_PCA
Shap;LRC_perturbation;0.8496095955933333;SVM_PCA
SVM_pvector;Permutation;0.69314839893;SVM_PCA
Permutation;LRC_covariance;0.6888172910533332;SVM_PCA
SVM_pvector;LRC_perturbation;0.6734823041366665;SVM_PCA
LRC_perturbation;LRC_covariance;0.6672295959266666;SVM_PCA
Shap;LRC_covariance;0.63641196876;SVM_PCA
SVM_pvector;Shap;0.5934984955933332;SVM_PCA
Shap;LRC_perturbation;0.88915707697;MLP_PCA
Permutation;LRC_perturbation;0.8760168041366666;MLP_PCA
Shap;Permutation;0.87166279072;MLP_PCA
Shap;LRC_covariance;0.7979545959266666;MLP_PCA
Permutation;LRC_covariance;0.7784388940566666;MLP_PCA
LRC_perturbation;LRC_covariance;0.7393681093433333;MLP_PCA
