Method_1;Method_2;RBO_Score;Model
VIP_Score;LRC_covariance;0.9647887747666666;PLS
VIP_Score;LRC_perturbation;0.9232179751;PLS
LRC_perturbation;LRC_covariance;0.9162542747666668;PLS
VIP_Score;Shap;0.8246998747666666;PLS
Shap;LRC_covariance;0.8215793750999999;PLS
Shap;LRC_perturbation;0.8018903747666667;PLS
Reg_Coefficient;Permutation;0.7817023747666667;PLS
Shap;Permutation;0.6460274750999999;PLS
VIP_Score;Permutation;0.5504248747666666;PLS
Permutation;LRC_covariance;0.5473043751;PLS
Permutation;LRC_perturbation;0.5018903747666666;PLS
Reg_Coefficient;Shap;0.4817023747666666;PLS
VIP_Score;Reg_Coefficient;0.3642179750999999;PLS
Reg_Coefficient;LRC_covariance;0.3572542747666666;PLS
Reg_Coefficient;LRC_perturbation;0.3240869750999999;PLS
SVM_pvector;Permutation;0.9093390885166668;SVM
LRC_perturbation;LRC_covariance;0.8704416022666667;SVM
Shap;LRC_covariance;0.8246998747666666;SVM
Shap;LRC_perturbation;0.7767606022666667;SVM
Shap;Permutation;0.6429391888499999;SVM
SVM_pvector;Shap;0.5836140885166665;SVM
Permutation;LRC_covariance;0.5216115885166667;SVM
SVM_pvector;LRC_covariance;0.46612968885;SVM
Permutation;LRC_perturbation;0.4541238885166666;SVM
SVM_pvector;LRC_perturbation;0.3967203885166666;SVM
LRC_perturbation;LRC_covariance;0.7426321022666666;MLP
Shap;LRC_covariance;0.6451666022666667;MLP
Shap;Permutation;0.5359853750999999;MLP
Permutation;LRC_covariance;0.5144416022666666;MLP
Shap;LRC_perturbation;0.4692179751;MLP
Permutation;LRC_perturbation;0.4641758750999999;MLP
LRC_perturbation;LRC_covariance;0.95521858885;PLS_PCA
VIP_Score;LRC_perturbation;0.9212963747666668;PLS_PCA
VIP_Score;LRC_covariance;0.9131659885166666;PLS_PCA
VIP_Score;Shap;0.8246998747666666;PLS_PCA
Shap;LRC_perturbation;0.8038119751;PLS_PCA
Shap;LRC_covariance;0.79568158885;PLS_PCA
Reg_Coefficient;Permutation;0.7817023747666667;PLS_PCA
Shap;Permutation;0.6460274750999999;PLS_PCA
VIP_Score;Permutation;0.5504248747666666;PLS_PCA
Permutation;LRC_perturbation;0.5038119751;PLS_PCA
Permutation;LRC_covariance;0.4956815888499999;PLS_PCA
Reg_Coefficient;Shap;0.4817023747666666;PLS_PCA
VIP_Score;Reg_Coefficient;0.3642179750999999;PLS_PCA
Reg_Coefficient;LRC_perturbation;0.3221653747666665;PLS_PCA
Reg_Coefficient;LRC_covariance;0.3140349885166666;PLS_PCA
SVM_pvector;Permutation;0.9093390885166668;SVM_PCA
LRC_perturbation;LRC_covariance;0.90621858885;SVM_PCA
Shap;LRC_covariance;0.8338909885166667;SVM_PCA
Shap;LRC_perturbation;0.7902062022666665;SVM_PCA
Shap;Permutation;0.6429391888499999;SVM_PCA
SVM_pvector;Shap;0.5836140885166665;SVM_PCA
Permutation;LRC_covariance;0.5081659885166667;SVM_PCA
Permutation;LRC_perturbation;0.4675694885166666;SVM_PCA
SVM_pvector;LRC_covariance;0.4476742022666666;SVM_PCA
SVM_pvector;LRC_perturbation;0.4101659885166666;SVM_PCA
LRC_perturbation;LRC_covariance;0.7942548885166667;MLP_PCA
Shap;LRC_covariance;0.6081238885166667;MLP_PCA
Shap;Permutation;0.5359853750999999;MLP_PCA
Permutation;LRC_covariance;0.5081659885166667;MLP_PCA
Shap;LRC_perturbation;0.4692179751;MLP_PCA
Permutation;LRC_perturbation;0.4641758750999999;MLP_PCA
