Reference;Method;RBO_Score
Vip;LRC_cov;0.9222687717633333
Vip;Shap;0.46280367730333327
Vip;LRC_perm;0.33014588030666664
Vip;Reg_coef;0.2357547855133333
Vip;LRC_pert;0.20695398217666666
