Method_1;Method_2;RBO_Score
VIP_Score;Shap;0.9364697720966667
Shap;LRC_covariance;0.8598670940566666
VIP_Score;LRC_covariance;0.85551308064
Shap;Permutation;0.8114997668899999
Permutation;LRC_perturbation;0.8064898803066666
Shap;LRC_perturbation;0.8052792720966666
VIP_Score;LRC_perturbation;0.78560198064
VIP_Score;Permutation;0.7836803803066666
Permutation;LRC_covariance;0.7560777022666666
LRC_perturbation;LRC_covariance;0.7108769806399999
Reg_Coefficient;LRC_perturbation;0.5201507720966666
Reg_Coefficient;Permutation;0.4610987855133332
Reg_Coefficient;Shap;0.35609878551333324
VIP_Score;Reg_Coefficient;0.3364214940566666
Reg_Coefficient;LRC_covariance;0.2946143858466666
