energy;Mean_Abs_SHAP
1.74;0.047022483669536194
1.72;0.04401993707739005
1.76;0.042998218941869136
3.7;0.04103868259632167
3.68;0.038014283927842236
3.72;0.035486556594211814
1.7;0.03210197324620865
1.78;0.030090329042406123
3.66;0.02355372849311949
3.74;0.021723546817164145
1.68;0.00949733700958799
1.8;0.00816654767040368
3.76;0.005077615827953406
3.64;0.004283285402152314
2.62;0.001320907849068809
3.28;0.0012531652656923577
3.38;0.00117077586653043
3.3;0.0011535254956256899
3.4;0.0009088013464189169
3.78;0.0007559102855302942
3.26;0.0005847435205892797
1.82;0.0005619072068045689
2.6;0.000517400933131878
1.66;0.00038338463444418584
2.58;0.0003465952904810618
4.04;0.0002923374725835339
3.62;0.0002781042095389146
2.64;0.00024765965514060155
3.98;0.00023962560763991414
4;9.388677480979345e-05
4.02;8.285436446442705e-05
3.32;5.7252655370674084e-05
3.24;5.5247593722328335e-05
3.42;3.8334121360740673e-05
3.36;3.615568520573953e-05
6.44;2.1807320506749694e-05
6.46;1.916112184574306e-05
14.49;0.0
14.43;0.0
14.47;0.0
14.51;0.0
14.53;0.0
14.55;0.0
14.57;0.0
14.59;0.0
14.61;0.0
14.63;0.0
14.65;0.0
14.67;0.0
14.69;0.0
14.71;0.0
14.73;0.0
14.45;0.0
13.85;0.0
13.87;0.0
13.89;0.0
13.91;0.0
13.93;0.0
13.95;0.0
13.97;0.0
13.99;0.0
14.01;0.0
14.03;0.0
14.05;0.0
14.07;0.0
14.09;0.0
14.11;0.0
14.37;0.0
14.15;0.0
14.17;0.0
14.19;0.0
14.21;0.0
14.23;0.0
14.25;0.0
14.27;0.0
14.29;0.0
14.31;0.0
14.33;0.0
14.35;0.0
14.75;0.0
14.39;0.0
14.41;0.0
14.13;0.0
15.77;0.0
15.75;0.0
15.73;0.0
15.71;0.0
15.69;0.0
15.67;0.0
15.65;0.0
14.91;0.0
15.61;0.0
15.59;0.0
15.57;0.0
15.55;0.0
15.53;0.0
15.51;0.0
15.49;0.0
15.47;0.0
15.63;0.0
16.11;0.0
16.09;0.0
16.07;0.0
16.05;0.0
16.03;0.0
16.01;0.0
15.99;0.0
15.79;0.0
15.95;0.0
15.93;0.0
15.91;0.0
15.89;0.0
15.87;0.0
15.85;0.0
15.83;0.0
15.81;0.0
15.97;0.0
15.07;0.0
15.05;0.0
15.03;0.0
15.01;0.0
14.99;0.0
14.97;0.0
14.95;0.0
15.45;0.0
13.83;0.0
14.89;0.0
14.87;0.0
14.85;0.0
14.83;0.0
14.81;0.0
14.79;0.0
14.77;0.0
14.93;0.0
15.43;0.0
15.41;0.0
15.39;0.0
15.37;0.0
15.35;0.0
15.33;0.0
15.31;0.0
15.29;0.0
15.09;0.0
15.25;0.0
15.23;0.0
15.21;0.0
15.19;0.0
15.17;0.0
15.15;0.0
15.13;0.0
15.11;0.0
15.27;0.0
12.09;0.0
12.11;0.0
12.13;0.0
12.15;0.0
12.17;0.0
12.19;0.0
12.21;0.0
12.23;0.0
12.25;0.0
12.27;0.0
12.29;0.0
12.31;0.0
12.33;0.0
13.47;0.0
12.37;0.0
12.39;0.0
12.41;0.0
12.43;0.0
12.45;0.0
12.47;0.0
12.49;0.0
12.51;0.0
12.53;0.0
12.55;0.0
12.57;0.0
12.59;0.0
12.61;0.0
12.63;0.0
12.35;0.0
11.49;0.0
11.51;0.0
11.53;0.0
11.55;0.0
11.57;0.0
11.59;0.0
11.61;0.0
11.63;0.0
11.65;0.0
11.67;0.0
11.69;0.0
11.71;0.0
11.73;0.0
11.75;0.0
12.07;0.0
11.79;0.0
11.81;0.0
11.83;0.0
11.85;0.0
11.87;0.0
11.89;0.0
11.91;0.0
11.93;0.0
11.95;0.0
11.97;0.0
11.99;0.0
12.01;0.0
12.03;0.0
